league_id,league_name,league_type,league_logo,country_name,country_code,country_flag
475,Paulista - A1,League,https://media.api-sports.io/football/leagues/475.png,Brazil,BR,https://media.api-sports.io/flags/br.svg
476,Paulista - A2,League,https://media.api-sports.io/football/leagues/476.png,Brazil,BR,https://media.api-sports.io/flags/br.svg
477,Gaúcho - 1,League,https://media.api-sports.io/football/leagues/477.png,Brazil,BR,https://media.api-sports.io/flags/br.svg
478,Gaúcho - 2,League,https://media.api-sports.io/football/leagues/478.png,Brazil,BR,https://media.api-sports.io/flags/br.svg
479,Canadian Premier League,League,https://media.api-sports.io/football/leagues/479.png,Canada,CA,https://media.api-sports.io/flags/ca.svg
483,Copa de la Superliga,Cup,https://media.api-sports.io/football/leagues/483.png,Argentina,AR,https://media.api-sports.io/flags/ar.svg
500,FA Cup,Cup,https://media.api-sports.io/football/leagues/500.png,Malaysia,MY,https://media.api-sports.io/flags/my.svg
702,Premier League 2 Division One,League,https://media.api-sports.io/football/leagues/702.png,England,GB-ENG,https://media.api-sports.io/flags/gb-eng.svg
703,Professional Development League,League,https://media.api-sports.io/football/leagues/703.png,England,GB-ENG,https://media.api-sports.io/flags/gb-eng.svg
704,Coppa Italia Primavera,Cup,https://media.api-sports.io/football/leagues/704.png,Italy,IT,https://media.api-sports.io/flags/it.svg
705,Campionato Primavera - 1,League,https://media.api-sports.io/football/leagues/705.png,Italy,IT,https://media.api-sports.io/flags/it.svg
706,Campionato Primavera - 2,League,https://media.api-sports.io/football/leagues/706.png,Italy,IT,https://media.api-sports.io/flags/it.svg
707,Cup,Cup,https://media.api-sports.io/football/leagues/707.png,Albania,AL,https://media.api-sports.io/flags/al.svg
708,Super Cup,Cup,https://media.api-sports.io/football/leagues/708.png,Albania,AL,https://media.api-sports.io/flags/al.svg
709,Cup,Cup,https://media.api-sports.io/football/leagues/709.png,Armenia,AM,https://media.api-sports.io/flags/am.svg
710,Nacional B,League,https://media.api-sports.io/football/leagues/710.png,Bolivia,BO,https://media.api-sports.io/flags/bo.svg
711,Segunda División,League,https://media.api-sports.io/football/leagues/711.png,Chile,CL,https://media.api-sports.io/flags/cl.svg
712,Liga Femenina,League,https://media.api-sports.io/football/leagues/712.png,Colombia,CO,https://media.api-sports.io/flags/co.svg
713,Superliga,Cup,https://media.api-sports.io/football/leagues/713.png,Colombia,CO,https://media.api-sports.io/flags/co.svg
715,DFB Junioren Pokal,Cup,https://media.api-sports.io/football/leagues/715.png,Germany,DE,https://media.api-sports.io/flags/de.svg
717,I-League - 2nd Division,League,https://media.api-sports.io/football/leagues/717.png,India,IN,https://media.api-sports.io/flags/in.svg
719,Super Cup,Cup,https://media.api-sports.io/football/leagues/719.png,Kuwait,KW,https://media.api-sports.io/flags/kw.svg
720,Emir Cup,Cup,https://media.api-sports.io/football/leagues/720.png,Kuwait,KW,https://media.api-sports.io/flags/kw.svg
721,Cup,Cup,https://media.api-sports.io/football/leagues/721.png,Luxembourg,LU,https://media.api-sports.io/flags/lu.svg
722,Liga Premier Serie A,League,https://media.api-sports.io/football/leagues/722.png,Mexico,MX,https://media.api-sports.io/flags/mx.svg
723,Cup,Cup,https://media.api-sports.io/football/leagues/723.png,Montenegro,ME,https://media.api-sports.io/flags/me.svg
724,U18 Divisie 1,League,https://media.api-sports.io/football/leagues/724.png,Netherlands,NL,https://media.api-sports.io/flags/nl.svg
726,Sultan Cup,Cup,https://media.api-sports.io/football/leagues/726.png,Oman,OM,https://media.api-sports.io/flags/om.svg
727,Super Cup,Cup,https://media.api-sports.io/football/leagues/727.png,Poland,PL,https://media.api-sports.io/flags/pl.svg
728,Liga 1 Feminin,League,https://media.api-sports.io/football/leagues/728.png,Romania,RO,https://media.api-sports.io/flags/ro.svg
729,Coppa Titano,Cup,https://media.api-sports.io/football/leagues/729.png,San-Marino,SM,https://media.api-sports.io/flags/sm.svg
730,Football League - Highland League,League,https://media.api-sports.io/football/leagues/730.png,Scotland,GB-SCT,https://media.api-sports.io/flags/gb-sct.svg
731,Football League - Lowland League,League,https://media.api-sports.io/football/leagues/731.png,Scotland,GB-SCT,https://media.api-sports.io/flags/gb-sct.svg
732,Cup,Cup,https://media.api-sports.io/football/leagues/732.png,Serbia,RS,https://media.api-sports.io/flags/rs.svg
733,I Liga - Women,League,https://media.api-sports.io/football/leagues/733.png,Slovakia,SK,https://media.api-sports.io/flags/sk.svg
734,Diski Challenge,League,https://media.api-sports.io/football/leagues/734.png,South-Africa,ZA,https://media.api-sports.io/flags/za.svg
735,Copa Federacion,Cup,https://media.api-sports.io/football/leagues/735.png,Spain,ES,https://media.api-sports.io/flags/es.svg
737,Svenska Cupen - Women,Cup,https://media.api-sports.io/football/leagues/737.png,Sweden,SE,https://media.api-sports.io/flags/se.svg
738,League Cup,Cup,https://media.api-sports.io/football/leagues/738.png,Wales,GB-WLS,https://media.api-sports.io/flags/gb-wls.svg
739,AXA Women’s Super League,League,https://media.api-sports.io/football/leagues/739.png,Switzerland,CH,https://media.api-sports.io/flags/ch.svg
740,Brasileiro U20 A,Cup,https://media.api-sports.io/football/leagues/740.png,Brazil,BR,https://media.api-sports.io/flags/br.svg
741,Brasileiro de Aspirantes,Cup,https://media.api-sports.io/football/leagues/741.png,Brazil,BR,https://media.api-sports.io/flags/br.svg
742,Copa Paulista,Cup,https://media.api-sports.io/football/leagues/742.png,Brazil,BR,https://media.api-sports.io/flags/br.svg
744,Oberliga - Schleswig-Holstein,League,https://media.api-sports.io/football/leagues/744.png,Germany,DE,https://media.api-sports.io/flags/de.svg
745,Oberliga - Hamburg,League,https://media.api-sports.io/football/leagues/745.png,Germany,DE,https://media.api-sports.io/flags/de.svg
746,Oberliga - Mittelrhein,League,https://media.api-sports.io/football/leagues/746.png,Germany,DE,https://media.api-sports.io/flags/de.svg
747,Oberliga - Westfalen,League,https://media.api-sports.io/football/leagues/747.png,Germany,DE,https://media.api-sports.io/flags/de.svg
748,Oberliga - Niedersachsen,League,https://media.api-sports.io/football/leagues/748.png,Germany,DE,https://media.api-sports.io/flags/de.svg
749,Oberliga - Bremen,League,https://media.api-sports.io/football/leagues/749.png,Germany,DE,https://media.api-sports.io/flags/de.svg
750,Oberliga - Hessen,League,https://media.api-sports.io/football/leagues/750.png,Germany,DE,https://media.api-sports.io/flags/de.svg
751,Oberliga - Niederrhein,League,https://media.api-sports.io/football/leagues/751.png,Germany,DE,https://media.api-sports.io/flags/de.svg
752,Oberliga - Rheinland-Pfalz / Saar,League,https://media.api-sports.io/football/leagues/752.png,Germany,DE,https://media.api-sports.io/flags/de.svg
753,Oberliga - Baden-Württemberg,League,https://media.api-sports.io/football/leagues/753.png,Germany,DE,https://media.api-sports.io/flags/de.svg
754,Oberliga - Nordost-Nord,League,https://media.api-sports.io/football/leagues/754.png,Germany,DE,https://media.api-sports.io/flags/de.svg
755,Oberliga - Nordost-Süd,League,https://media.api-sports.io/football/leagues/755.png,Germany,DE,https://media.api-sports.io/flags/de.svg
756,Cup,Cup,https://media.api-sports.io/football/leagues/756.png,Macedonia,MK,https://media.api-sports.io/flags/mk.svg
757,Irish Cup,Cup,https://media.api-sports.io/football/leagues/757.png,Northern-Ireland,GB-NIR,https://media.api-sports.io/flags/gb-nir.svg
758,Premier Division,League,https://media.api-sports.io/football/leagues/758.png,Gibraltar,GI,https://media.api-sports.io/flags/gi.svg
759,Liga Mayor,League,https://media.api-sports.io/football/leagues/759.png,Dominican-Republic,DO,https://media.api-sports.io/flags/do.svg
760,LFA First Division,League,https://media.api-sports.io/football/leagues/760.png,Liberia,LR,https://media.api-sports.io/flags/lr.svg
761,Cup,Cup,https://media.api-sports.io/football/leagues/761.png,Liechtenstein,LI,https://media.api-sports.io/flags/li.svg
762,Premier League,League,https://media.api-sports.io/football/leagues/762.png,Mauritania,MR,https://media.api-sports.io/flags/mr.svg
763,Mauritian League,League,https://media.api-sports.io/football/leagues/763.png,Mauritius,MU,https://media.api-sports.io/flags/mu.svg
764,Premier League,League,https://media.api-sports.io/football/leagues/764.png,Mongolia,MN,https://media.api-sports.io/flags/mn.svg
765,PFL,League,https://media.api-sports.io/football/leagues/765.png,Philippines,PH,https://media.api-sports.io/flags/ph.svg
767,CONCACAF League,Cup,https://media.api-sports.io/football/leagues/767.png,World,,
771,COSAFA U20 Championship,Cup,https://media.api-sports.io/football/leagues/771.png,World,,
774,3. Division - Girone 1,League,https://media.api-sports.io/football/leagues/774.png,Norway,NO,https://media.api-sports.io/flags/no.svg
775,3. Division - Girone 2,League,https://media.api-sports.io/football/leagues/775.png,Norway,NO,https://media.api-sports.io/flags/no.svg
776,3. Division - Girone 3,League,https://media.api-sports.io/football/leagues/776.png,Norway,NO,https://media.api-sports.io/flags/no.svg
777,3. Division - Girone 4,League,https://media.api-sports.io/football/leagues/777.png,Norway,NO,https://media.api-sports.io/flags/no.svg
778,3. Division - Girone 5,League,https://media.api-sports.io/football/leagues/778.png,Norway,NO,https://media.api-sports.io/flags/no.svg
779,3. Division - Girone 6,League,https://media.api-sports.io/football/leagues/779.png,Norway,NO,https://media.api-sports.io/flags/no.svg
